GO_term,locusName,fx
GO:0005622,Solyc12g005420,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g056530,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g007850,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g010350,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g006000,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g077650,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g036500,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g087990,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g065330,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g117320,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g084230,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g078960,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g063440,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g090110,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g070340,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g055460,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g119540,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g073180,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g077120,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g070320,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g009310,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g011270,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g078630,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g007360,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g038060,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g020150,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g046040,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g090410,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g051200,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g011510,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g080590,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g017530,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g076870,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g007560,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g060850,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g071270,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g032880,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g091220,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g062500,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g061610,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g062160,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g043360,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g099900,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g015630,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g068820,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g074600,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g020490,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g008720,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g014790,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g088200,Cellular Component:intracellular anatomical structure
